                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1479,                 2.2135,                  1.429,                0.94611,                0.28424,                0.38988,                0.27859,                0.98679,                 2.3556,                 1.3226,              0.0005001,              0.0005001,              0.0005001
                      2,                 1.1187,                 1.3893,                 1.3702,                 0.9162,                0.22383,                0.28459,                 0.1703,                 1.5261,                 2.5459,                 1.8468,             0.00099674,             0.00099674,             0.00099674
                      3,                 1.1578,                 1.3928,                 1.3929,                0.85936,                0.34335,                0.36004,                0.22602,                 1.2791,                 1.8623,                 1.5311,              0.0014729,              0.0014729,              0.0014729
                      4,                 1.1873,                 1.3971,                 1.4254,                0.75058,                  0.332,                 0.2961,                0.16806,                  1.395,                  1.905,                 1.6538,               0.001568,               0.001568,               0.001568
                      5,                 1.1534,                 1.2189,                 1.3757,                0.89665,                0.36238,                 0.4034,                0.25274,                 1.3028,                 1.6062,                   1.54,               0.001568,               0.001568,               0.001568
                      6,                 1.1542,                 1.2218,                 1.3716,                0.83334,                0.30474,                0.34375,                0.20369,                 1.3322,                 2.0286,                 1.6376,               0.001535,               0.001535,               0.001535
                      7,                  1.099,                 1.1379,                 1.3662,                 0.9172,                0.40006,                0.44322,                0.29789,                 1.1569,                 1.2716,                 1.4753,               0.001502,               0.001502,               0.001502
                      8,                 1.1405,                 1.0769,                 1.3545,                0.94043,                0.40987,                0.45603,                0.30663,                 1.1966,                 1.0622,                 1.4627,               0.001469,               0.001469,               0.001469
                      9,                 1.1074,                 1.0358,                 1.3577,                0.94775,                0.38841,                 0.4373,                0.31231,                 1.1068,                 1.1335,                 1.3797,               0.001436,               0.001436,               0.001436
                     10,                 1.0778,                0.92733,                  1.318,                0.96142,                0.45494,                0.53495,                0.34966,                 1.0704,                0.94971,                 1.3434,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.0832,                 0.9439,                 1.3242,                0.94644,                0.40987,                0.45804,                  0.321,                 1.0404,                 1.0469,                 1.2932,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.0506,                0.88954,                 1.2979,                0.97451,                0.42704,                0.46657,                0.33471,                 1.0273,                 0.9741,                 1.3111,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.0491,                0.86316,                 1.3158,                0.92654,                  0.397,                0.45815,                0.30552,                  1.142,                  1.084,                 1.4249,              0.0013039,              0.0013039,              0.0013039
                     14,                0.99678,                0.83743,                 1.2764,                 0.9337,                0.43777,                0.46554,                0.34073,                0.99025,                0.84668,                 1.3134,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.0235,                0.83704,                 1.3022,                0.95232,                0.45064,                 0.4751,                0.34257,                0.99541,                0.74291,                 1.2829,              0.0012379,              0.0012379,              0.0012379
                     16,                0.96769,                0.77473,                 1.2438,                0.97759,                0.44206,                0.49058,                0.36535,                0.93861,                0.69758,                 1.2182,              0.0012049,              0.0012049,              0.0012049
                     17,                0.97204,                0.76476,                 1.2634,                0.96807,                0.41845,                0.46288,                0.31764,                 1.2484,                0.84503,                  1.483,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.0002,                0.77859,                  1.284,                0.96386,                0.44074,                0.48159,                0.34699,                 1.0202,                0.72948,                 1.2894,              0.0011389,              0.0011389,              0.0011389
                     19,                0.98723,                0.78918,                 1.2638,                0.96838,                0.44635,                0.48212,                0.35782,                0.95666,                0.70434,                 1.2828,              0.0011059,              0.0011059,              0.0011059
                     20,                0.98729,                0.74648,                 1.2511,                0.95578,                 0.4721,                0.48403,                0.34545,                 1.0245,                0.66587,                 1.3191,              0.0010729,              0.0010729,              0.0010729
                     21,                0.93426,                0.70926,                 1.2268,                0.97317,                0.45421,                0.48068,                0.36045,                0.90613,                0.65907,                 1.2141,              0.0010399,              0.0010399,              0.0010399
                     22,                0.93603,                0.70678,                 1.2331,                0.99261,                0.42908,                0.47472,                0.35534,                 0.9835,                0.65308,                 1.2892,              0.0010069,              0.0010069,              0.0010069
                     23,                 0.9591,                0.70752,                 1.2467,                0.98168,                0.45128,                 0.4858,                0.36728,                0.90181,                0.59987,                 1.2064,             0.00097386,             0.00097386,             0.00097386
                     24,                0.92713,                0.69588,                  1.204,                0.98534,                0.46352,                0.49469,                0.37648,                0.91373,                0.57297,                 1.2172,             0.00094085,             0.00094085,             0.00094085
                     25,                0.88268,                0.66243,                 1.2039,                0.97465,                0.44421,                0.48616,                0.37505,                0.90029,                0.61072,                 1.2121,             0.00090785,             0.00090785,             0.00090785
                     26,                0.92193,                0.68861,                 1.2216,                0.98552,                0.45279,                0.48676,                0.37027,                0.91301,                0.61466,                 1.2525,             0.00087484,             0.00087484,             0.00087484
                     27,                0.87079,                0.64444,                 1.2022,                0.96981,                0.45064,                0.48159,                0.37335,                0.86691,                0.61356,                 1.1885,             0.00084184,             0.00084184,             0.00084184
                     28,                0.92106,                0.66393,                 1.2218,                0.96829,                0.44364,                0.47317,                0.35915,                0.92672,                0.68944,                 1.2309,             0.00080883,             0.00080883,             0.00080883
                     29,                0.86588,                0.62278,                 1.1818,                0.98598,                0.44636,                  0.478,                0.36526,                0.91057,                0.70281,                 1.2199,             0.00077582,             0.00077582,             0.00077582
                     30,                0.90694,                  0.642,                 1.1993,                0.97662,                0.44635,                0.50254,                0.38372,                0.93909,                0.69891,                  1.233,             0.00074282,             0.00074282,             0.00074282
